"","INC_DAYH","TEMP","DEWP","TEMPc","DEWPc","RH"
"1",2013-01-01 00:00:00,37,20,2.77777777777778,-6.66666666666667,50.2236528545431
"2",2013-01-01 01:00:00,37,20,2.77777777777778,-6.66666666666667,50.2236528545431
"3",2013-01-01 02:00:00,38,20,3.33333333333333,-6.66666666666667,48.2982805353321
"4",2013-01-01 03:00:00,38,22,3.33333333333333,-5.55555555555556,52.5417065259042
"5",2013-01-01 04:00:00,38,23,3.33333333333333,-5,54.7831582814299
"6",2013-01-01 05:00:00,39,24,3.88888888888889,-4.44444444444444,54.9315566841673
"7",2013-01-01 06:00:00,38,26,3.33333333333333,-3.33333333333333,62.0174817105966
"8",2013-01-01 07:00:00,39,27,3.88888888888889,-2.77777777777778,62.1497768025722
"9",2013-01-01 08:00:00,39,27,3.88888888888889,-2.77777777777778,62.1497768025722
"10",2013-01-01 09:00:00,39,27,3.88888888888889,-2.77777777777778,62.1497768025722
"11",2013-01-01 10:00:00,39,26,3.88888888888889,-3.33333333333333,59.6566412423888
"12",2013-01-01 11:00:00,39,26,3.88888888888889,-3.33333333333333,59.6566412423888
"13",2013-01-01 12:00:00,38,27,3.33333333333333,-2.77777777777778,64.6079270950075
"14",2013-01-01 13:00:00,39,27,3.88888888888889,-2.77777777777778,62.1497768025722
"15",2013-01-01 14:00:00,39,27,3.88888888888889,-2.77777777777778,62.1497768025722
"16",2013-01-01 15:00:00,39,27,3.88888888888889,-2.77777777777778,62.1497768025722
"17",2013-01-01 16:00:00,39,26,3.88888888888889,-3.33333333333333,59.6566412423888
"18",2013-01-01 17:00:00,37,25,2.77777777777778,-3.88888888888889,61.884280914372
"19",2013-01-01 18:00:00,37,25,2.77777777777778,-3.88888888888889,61.884280914372
"20",2013-01-01 19:00:00,38,24,3.33333333333333,-4.44444444444444,57.1078366243681
"21",2013-01-01 20:00:00,38,21,3.33333333333333,-6.11111111111111,50.3809142150883
"22",2013-01-01 21:00:00,36,18,2.22222222222222,-7.77777777777778,47.9764272808076
"23",2013-01-01 22:00:00,35,16,1.66666666666667,-8.88888888888889,45.7990449246896
"24",2013-01-01 23:00:00,33,15,0.555555555555556,-9.44444444444444,47.4865636956407
"25",2013-01-02 00:00:00,32,14,0,-10,47.3213572891505
"26",2013-01-02 01:00:00,30,13,-1.11111111111111,-10.5555555555556,49.0959491044649
"27",2013-01-02 02:00:00,29,12,-1.66666666666667,-11.1111111111111,48.9309139230878
"28",2013-01-02 03:00:00,27,9,-2.77777777777778,-12.7777777777778,46.4805964681121
"29",2013-01-02 04:00:00,26,10,-3.33333333333333,-12.2222222222222,50.6344700339582
"30",2013-01-02 05:00:00,25,10,-3.88888888888889,-12.2222222222222,52.7652338802276
"31",2013-01-02 06:00:00,26,10,-3.33333333333333,-12.2222222222222,50.6344700339582
"32",2013-01-02 07:00:00,24,9,-4.44444444444444,-12.7777777777778,52.602868200042
"33",2013-01-02 08:00:00,23,9,-5,-12.7777777777778,54.8362652468928
"34",2013-01-02 09:00:00,23,9,-5,-12.7777777777778,54.8362652468928
"35",2013-01-02 10:00:00,22,9,-5.55555555555556,-12.7777777777778,57.1742394696026
"36",2013-01-02 11:00:00,22,9,-5.55555555555556,-12.7777777777778,57.1742394696026
"37",2013-01-02 12:00:00,23,9,-5,-12.7777777777778,54.8362652468928
"38",2013-01-02 13:00:00,24,10,-4.44444444444444,-12.2222222222222,54.9948701457661
"39",2013-01-02 14:00:00,25,9,-3.88888888888889,-12.7777777777778,50.4689617147656
"40",2013-01-02 15:00:00,26,10,-3.33333333333333,-12.2222222222222,50.6344700339582
"41",2013-01-02 16:00:00,28,11,-2.22222222222222,-11.6666666666667,48.7648706819473
"42",2013-01-02 17:00:00,30,11,-1.11111111111111,-11.6666666666667,44.9597138013606
"43",2013-01-02 18:00:00,31,11,-0.555555555555556,-11.6666666666667,43.1803581911818
"44",2013-01-02 19:00:00,32,11,0,-11.6666666666667,41.4779941135372
"45",2013-01-02 20:00:00,31,11,-0.555555555555556,-11.6666666666667,43.1803581911818
"46",2013-01-02 21:00:00,31,12,-0.555555555555556,-11.1111111111111,45.1294913402829
"47",2013-01-02 22:00:00,31,12,-0.555555555555556,-11.1111111111111,45.1294913402829
"48",2013-01-02 23:00:00,30,13,-1.11111111111111,-10.5555555555556,49.0959491044649
"49",2013-01-03 00:00:00,30,13,-1.11111111111111,-10.5555555555556,49.0959491044649
"50",2013-01-03 01:00:00,30,14,-1.11111111111111,-10,51.2861602791075
"51",2013-01-03 02:00:00,30,14,-1.11111111111111,-10,51.2861602791075
"52",2013-01-03 03:00:00,30,15,-1.11111111111111,-9.44444444444444,53.5613930660566
"53",2013-01-03 04:00:00,29,15,-1.66666666666667,-9.44444444444444,55.7721034527242
"54",2013-01-03 05:00:00,28,15,-2.22222222222222,-9.44444444444444,58.0834367267472
"55",2013-01-03 06:00:00,28,15,-2.22222222222222,-9.44444444444444,58.0834367267472
