"","OBJECTID","GEOID2","GEOID","GEOLABEL","HISL01_E","HISL02_E","HISL04_E","HISL05_E","HISL06_E","HISL07_E","HISL08_E","HISL09_E","HISL10_E","SXAG17_E","SXAG04_E","SXAG05_E","SXAG06_E","SXAG07_E","SXAG08_E","SXAG09_E","SXAG10_E","SXAG11_E","SXAG12_E","SXAG13_E","SXAG14_E","SXAG15_E","SXAG16_E","INC01_E","INC02_E","INC03_E","INC04_E","INC05_E","INC06_E","INC07_E","INC08_E","INC09_E","INC10_E","INC11_E","INC12_E","INC13_E","bcode","postalcity","borough","ems_boroughs","inc_ineq","zip_pop","pct_b","pct_nw","pct_lat","pct_pov","zip_code"
"52",76,10307,"8600000US10307","ZCTA5 10307",15528,1443,13501,53,14,465,0,0,52,37.8,856,1073,1434,1169,1018,1775,2395,2750,820,632,945,431,230,5156,109,264,365,256,587,710,726,737,541,861,81356,113591,36085,"Staten Island","SI","RICHMOND / STATEN ISLAND",0.575,15528,0.00341318907779495,0.130538382277177,0.0929289026275116,0.143134212567882,10307
"53",77,10308,"8600000US10308","ZCTA5 10308",30024,3306,24852,282,31,1402,0,0,151,43,1584,1528,1603,1674,1879,3786,3894,4798,2225,1801,3145,1478,629,10653,343,302,645,726,643,1571,1602,2496,1337,988,91953,104614,36085,"Staten Island","SI","RICHMOND / STATEN ISLAND",0.525,30024,0.00939248601119105,0.172262190247802,0.110111910471623,0.121092649957758,10308
"54",78,10309,"8600000US10309","ZCTA5 10309",33660,2683,29114,185,135,1277,0,91,175,40.4,1920,2204,2215,1707,2132,4363,4835,5101,2647,2165,2665,1287,419,11455,297,342,991,284,686,1560,1555,2908,1435,1397,100343,118300,36085,"Staten Island","SI","RICHMOND / STATEN ISLAND",0.559,33660,0.00549613784907903,0.135056446821153,0.079708853238265,0.142295940637276,10309
"55",79,10310,"8600000US10310","ZCTA5 10310",23708,7309,9695,4801,0,1533,0,9,361,36.5,1631,1659,1757,1662,1571,3094,3137,3354,1493,1508,1678,914,250,8218,984,264,653,585,849,1204,713,1482,891,593,69838,87497,36085,"Staten Island","SI","RICHMOND / STATEN ISLAND",0.495,23708,0.202505483381137,0.591066306731905,0.308292559473595,0.231321489413483,10310
"56",81,10312,"8600000US10312","ZCTA5 10312",61058,6011,50340,664,23,3405,32,18,565,42.1,3337,3497,4205,3396,3522,7276,7976,8533,4692,4146,6764,2778,936,21230,738,629,1121,1292,2234,3145,2351,4364,3152,2204,90797,108766,36085,"Staten Island","SI","RICHMOND / STATEN ISLAND",0.542,61058,0.0108749058272462,0.175538013036785,0.0984473779029775,0.117192651907678,10312
"57",82,10314,"8600000US10314","ZCTA5 10314",89960,12734,57831,3724,24,13978,88,90,1491,41.4,5057,4942,5227,5425,5901,12009,10560,13239,6147,5745,9096,4274,2338,31307,2040,1030,2231,1990,2746,4755,3794,6377,3311,3033,80956,98727,36085,"Staten Island","SI","RICHMOND / STATEN ISLAND",0.519,89960,0.041396176078257,0.357147621164962,0.141551800800356,0.169323154566071,10314
"58",83,10451,"8600000US10451","ZCTA5 10451",48240,27981,1290,17258,132,885,53,186,455,33.3,3673,3846,3123,3783,3782,7046,6086,6270,2518,2205,3072,2028,808,18783,3489,2594,2783,2164,2923,2063,1254,863,301,349,26979,46052,36005,"Bronx","Bronx","BROOKLYN",0.178,48240,0.357752902155887,0.973258706467662,0.580037313432836,0.472022573603791,10451
"59",84,10452,"8600000US10452","ZCTA5 10452",77983,54067,1111,20650,37,1035,35,504,544,31.1,5867,6275,6521,5978,6710,13128,10271,9848,4366,3104,3752,1562,601,25949,4121,3323,4657,3391,3492,3617,1755,1169,226,198,27206,38756,36005,"Bronx","Bronx","BROOKLYN",0.098,77983,0.264801302848057,0.985753305207545,0.693317774386725,0.466337816486184,10452
"60",85,10453,"8600000US10453","ZCTA5 10453",82232,56561,761,22623,109,1411,7,308,452,30.1,6702,6736,5690,6525,7552,13722,9938,10904,4601,3366,4471,1544,481,27338,5288,4184,4397,3073,3748,3337,1748,931,481,151,24421,36529,36005,"Bronx","Bronx","BROOKLYN",0.101,82232,0.275111878587411,0.990745695106528,0.687822258974608,0.507315824127588,10453
"61",86,10454,"8600000US10454","ZCTA5 10454",38654,26881,1051,10012,221,120,0,151,218,29.4,3164,3320,3472,3185,3722,5785,5259,4374,1781,1356,1688,1171,377,13085,3324,1819,2209,1441,1659,1073,752,545,169,94,21542,34310,36005,"Bronx","Bronx","BROOKLYN",0.108,38654,0.259015884513892,0.972810058467429,0.695426087856367,0.561864730607566,10454
"62",87,10455,"8600000US10455","ZCTA5 10455",42558,31043,475,10305,80,389,68,35,163,31.1,3753,3490,2981,2772,3535,7508,5402,5210,2215,1815,2285,1146,446,14202,2737,2183,2084,1863,1805,1739,961,535,169,126,25489,37891,36005,"Bronx","Bronx","BROOKLYN",0.109,42558,0.242140138164387,0.988838761219982,0.729428074627567,0.49316997605971,10455
"63",88,10456,"8600000US10456","ZCTA5 10456",94667,57047,1225,33433,703,1155,0,470,634,30.5,7787,7566,7765,7567,8224,14274,11622,11962,5411,4287,5158,2130,914,30096,5588,3589,5125,3795,3703,4428,1953,1465,216,234,26724,41156,36005,"Bronx","Bronx","BROOKLYN",0.107,94667,0.353164249421657,0.987059904718645,0.602607033073827,0.475212652844232,10456
"64",89,10457,"8600000US10457","ZCTA5 10457",75668,48066,1340,24110,117,913,18,285,819,29.4,7032,6224,5877,6471,6070,12072,9469,9218,4267,2484,3943,1902,639,24245,4208,3489,3752,2979,3293,3336,1690,1010,343,145,27036,39774,36005,"Bronx","Bronx","BROOKLYN",0.107,75668,0.318628746630015,0.982291060950468,0.63522228683195,0.472221076510621,10457
"65",90,10458,"8600000US10458","ZCTA5 10458",85157,58883,7743,14946,75,2177,31,339,963,28.9,7537,5997,6134,7868,9087,14651,10564,9530,3577,3740,4050,1713,709,27228,4306,2935,3800,3448,3749,4493,2170,1627,412,288,32129,44615,36005,"Bronx","Bronx","BROOKLYN",0.164,85157,0.175511114764494,0.909073828340594,0.691464001784938,0.405501689437344,10458
"66",91,10459,"8600000US10459","ZCTA5 10459",48895,33398,660,13934,131,329,0,196,247,30.9,3691,3964,3701,4097,4023,7822,6360,5974,2464,2104,2421,1760,514,16066,3582,1833,2446,1904,2209,1854,1119,765,236,118,25762,39033,36005,"Bronx","Bronx","BROOKLYN",0.133,48895,0.284978014111872,0.986501687289089,0.683055527150015,0.489294161583468,10459
"67",92,10460,"8600000US10460","ZCTA5 10460",60772,43277,1482,14718,0,773,23,256,243,31.6,4997,4430,4344,4326,4859,10367,6776,8593,3092,2561,4124,1720,583,20359,3717,2243,3965,2527,2457,2709,1254,998,293,196,25948,39791,36005,"Bronx","Bronx","BROOKLYN",0.132,60772,0.242183900480484,0.975613769499111,0.712120713486474,0.487499386020924,10460
"68",93,10461,"8600000US10461","ZCTA5 10461",51021,22873,17795,3877,54,5815,41,111,455,38.2,3141,2646,2882,2149,3325,8736,7076,7237,3073,2701,3812,2784,1459,19013,1266,1282,1913,1922,2075,3749,2279,2655,1205,667,55847,71591,36005,"Bronx","Bronx","BROOKLYN",0.368,51021,0.075988318535505,0.651222045824268,0.448305599655044,0.234628938094988,10461
"69",94,10462,"8600000US10462","ZCTA5 10462",79188,37842,9378,19290,178,10053,0,779,1668,35.8,5134,5098,4686,4357,5739,13503,11205,10629,5291,4186,5054,3312,994,29679,2450,2099,3073,2984,4244,5931,3549,3877,915,557,49962,61943,36005,"Bronx","Bronx","BROOKLYN",0.285,79188,0.243597514774966,0.881572965600849,0.477875435672072,0.256814582701573,10462
"70",95,10463,"8600000US10463","ZCTA5 10463",72863,36587,23370,8534,238,2408,62,548,1116,38.8,4973,4541,3702,3313,4582,11754,8931,9531,4113,4049,6923,4106,2345,28537,2114,1497,3281,2144,3222,4854,3656,4335,1636,1798,58881,82103,36005,"Bronx","Bronx","BROOKLYN",0.423,72863,0.117123917488986,0.679261079011295,0.502134142157199,0.24151102078004,10463
"71",96,10464,"8600000US10464","ZCTA5 10464",4517,1259,2984,45,0,206,0,23,0,44.8,295,201,293,144,279,621,441,764,162,312,693,190,122,1936,49,42,136,185,130,286,314,393,260,141,87853,100244,36005,"Bronx","Bronx","BROOKLYN",0.498,4517,0.00996236440115121,0.339384547265884,0.278724817356653,0.117252066115702,10464
"72",97,10465,"8600000US10465","ZCTA5 10465",44269,18595,19834,3903,43,1503,7,136,248,41.7,2534,2438,2121,2817,3364,5047,5737,6130,3175,3093,3992,2329,1492,15685,1145,853,1450,852,1401,2248,2055,3204,1212,1265,74079,89748,36005,"Bronx","Bronx","BROOKLYN",0.485,44269,0.0881655334432673,0.551966387313922,0.420045630124918,0.219827861013707,10465
"73",98,10466,"8600000US10466","ZCTA5 10466",73569,16681,2109,50722,129,2172,57,766,933,36.3,4796,4338,4588,5346,6163,10156,9271,10739,4803,4378,5123,2856,1012,23312,2525,1705,2139,2138,3170,3899,2564,2958,1364,850,49906,66344,36005,"Bronx","Bronx","BROOKLYN",0.367,73569,0.689448001196156,0.971333034294336,0.22673952344058,0.273206932052162,10466
"74",99,10467,"8600000US10467","ZCTA5 10467",102718,53713,9398,31693,131,6056,0,636,1091,33.9,8364,6993,6831,6129,7594,17119,13666,12887,5450,5856,6616,3564,1649,36335,4787,3790,5265,4190,4911,6400,3040,2706,933,313,35381,48581,36005,"Bronx","Bronx","BROOKLYN",0.195,102718,0.308543780058023,0.908506785568255,0.522917112872135,0.380955002064126,10467
