"","OBJECTID","GEOID2","GEOID","GEOLABEL","HISL01_E","HISL02_E","HISL04_E","HISL05_E","HISL06_E","HISL07_E","HISL08_E","HISL09_E","HISL10_E","SXAG17_E","SXAG04_E","SXAG05_E","SXAG06_E","SXAG07_E","SXAG08_E","SXAG09_E","SXAG10_E","SXAG11_E","SXAG12_E","SXAG13_E","SXAG14_E","SXAG15_E","SXAG16_E","INC01_E","INC02_E","INC03_E","INC04_E","INC05_E","INC06_E","INC07_E","INC08_E","INC09_E","INC10_E","INC11_E","INC12_E","INC13_E","bcode","postalcity","borough","ems_boroughs","inc_ineq","zip_pop","pct_b","pct_nw","pct_lat","pct_pov","zip_code"
"98",123,11205,"8600000US11205","ZCTA5 11205",45148,8333,18317,13805,37,3461,7,134,1054,30,4061,3700,2921,3120,4312,8903,6798,4442,1758,1752,2097,968,316,15843,1887,1027,1710,1514,1555,2268,1673,2042,962,1205,51574,78983,36047,"Brooklyn","Brooklyn","BRONX",0.452,45148,0.305772127226012,0.594289891025073,0.184570745104988,0.291863914662627,11205
"99",124,11206,"8600000US11206","ZCTA5 11206",87767,33857,28701,17777,179,5932,47,195,1079,29.2,7488,7182,6091,5599,7947,19116,10145,7891,4107,3324,5235,2832,810,30516,4735,3558,4294,2898,3504,3925,2498,2649,1298,1157,34122,57980,36047,"Brooklyn","Brooklyn","BRONX",0.337,87767,0.202547654585436,0.672986429979377,0.385760023699112,0.412472145759602,11206
"100",125,11207,"8600000US11207","ZCTA5 11207",92580,29972,3336,55677,165,1495,82,894,959,34,6539,6168,6580,5984,7364,14934,11615,12579,5951,4895,5821,3000,1150,32625,6605,2456,3833,3123,3828,5164,3080,2908,1095,533,35809,52124,36047,"Brooklyn","Brooklyn","BRONX",0.274,92580,0.601393389500972,0.963966299416721,0.323741628861525,0.395218390804598,11207
"101",126,11208,"8600000US11208","ZCTA5 11208",99145,39971,2661,48430,51,6013,0,902,1117,32,8567,7909,6415,6911,8067,15944,13056,13090,5772,4892,5504,2195,823,31393,5126,2001,3708,3182,4402,5113,3190,2863,1058,750,39588,55108,36047,"Brooklyn","Brooklyn","BRONX",0.29,99145,0.48847647385143,0.973160522467094,0.403156992284028,0.345140636447616,11208
"102",127,11209,"8600000US11209","ZCTA5 11209",67950,11053,44924,1425,60,9000,35,144,1309,40.5,4259,3535,3028,2700,3317,11886,9314,9790,4131,4655,6198,3418,1719,29220,1985,1294,2265,2470,2822,4948,3253,4978,2253,2952,69578,95195,36047,"Brooklyn","Brooklyn","BRONX",0.499,67950,0.0209713024282561,0.338866813833701,0.162663723325975,0.189733059548255,11209
"103",128,11210,"8600000US11210","ZCTA5 11210",68988,5388,19423,39568,37,2987,0,487,1098,35.1,5032,5291,5007,5264,4612,9223,9278,8348,4301,3685,5411,2583,953,22310,1333,957,1773,2006,3066,4238,2911,3298,1244,1484,62202,84919,36047,"Brooklyn","Brooklyn","BRONX",0.42,68988,0.573549023018496,0.718458282599872,0.0781005392242129,0.182115643209323,11210
"104",129,11211,"8600000US11211","ZCTA5 11211",101560,24750,64524,4154,158,5823,19,402,1730,30.6,10253,6433,5092,4920,6402,29068,15100,7866,3697,3878,4802,2500,1549,38660,3238,2988,3527,3022,3655,4570,4020,5602,3080,4958,66113,100706,36047,"Brooklyn","Brooklyn","BRONX",0.539,101560,0.0409019298936589,0.364671130366286,0.24369830641985,0.252276254526643,11211
"105",130,11212,"8600000US11212","ZCTA5 11212",82831,14713,1116,64796,135,975,8,409,679,35.1,5991,4548,5885,5881,5629,13422,11161,11645,4808,3881,6006,2828,1146,31484,7840,3307,4327,3166,3822,4193,2143,1873,436,377,25677,42285,36047,"Brooklyn","Brooklyn","BRONX",0.182,82831,0.782267508541488,0.98652678345064,0.177626733952264,0.491487739804345,11212
"106",131,11213,"8600000US11213","ZCTA5 11213",66503,7583,13513,42082,101,1574,0,337,1313,34,4700,3826,4184,4341,5720,11560,8451,8480,4495,3254,4053,2325,1114,24731,3603,1876,3159,2423,3380,4073,2253,2478,951,535,40604,56798,36047,"Brooklyn","Brooklyn","BRONX",0.291,66503,0.632783483451874,0.796806159120641,0.114024931206111,0.349278233795641,11213
"107",132,11214,"8600000US11214","ZCTA5 11214",94283,13388,43140,1131,98,34907,12,298,1309,39.5,5842,5360,4879,4508,5426,14821,13365,13073,6142,5611,7963,4581,2712,31945,2276,1933,3469,3386,4113,5029,3830,4294,2062,1553,53151,73599,36047,"Brooklyn","Brooklyn","BRONX",0.393,94283,0.0119957998790874,0.542441373312262,0.141998027215935,0.240350602598216,11214
"108",133,11215,"8600000US11215","ZCTA5 11215",71015,12166,47287,2480,83,5409,0,495,3095,35.5,5704,4239,3083,2185,3309,16042,14245,8726,3385,3141,4428,1922,606,28880,1224,804,955,951,1725,3197,3328,5595,3993,7108,116893,162894,36047,"Brooklyn","Brooklyn","BRONX",0.66,71015,0.0349221995353094,0.334126592973315,0.171315919172006,0.103289473684211,11215
"109",134,11216,"8600000US11216","ZCTA5 11216",57410,6219,13402,33230,100,2763,0,284,1412,34.2,2897,2612,2132,2214,4842,15078,8213,7011,3302,2867,3123,2216,903,23800,2343,1541,2513,1718,2565,4252,2639,3086,1585,1558,56025,79825,36047,"Brooklyn","Brooklyn","BRONX",0.433,57410,0.578819021076468,0.766556349068107,0.108326075596586,0.268781512605042,11216
"110",135,11217,"8600000US11217","ZCTA5 11217",39687,7251,20519,7401,1,2965,23,229,1298,35.1,2843,1534,1558,1232,1925,10630,7364,4671,1844,1902,2650,1105,429,16856,881,587,964,880,1257,1978,1933,2811,1806,3759,99085,147595,36047,"Brooklyn","Brooklyn","BRONX",0.635,39687,0.186484239171517,0.482979313125205,0.182704663995767,0.144280968201234,11217
"111",136,11218,"8600000US11218","ZCTA5 11218",76960,14247,38915,6059,55,15033,0,293,2358,33.4,7543,5679,5586,4280,4581,12956,11607,8546,3962,3653,5111,2379,1077,24967,1492,1347,2536,2164,2769,3764,3365,3881,1793,1856,64152,87341,36047,"Brooklyn","Brooklyn","BRONX",0.453,76960,0.07872920997921,0.494347713097713,0.185122141372141,0.215284175111147,11218
"112",137,11219,"8600000US11219","ZCTA5 11219",93979,11753,57660,886,138,22982,0,73,487,27.8,11863,8802,8074,6497,7130,14228,10140,8388,4131,3891,5803,2624,2408,25240,2176,2432,4056,3267,3648,3603,2146,2294,945,673,37665,56434,36047,"Brooklyn","Brooklyn","BRONX",0.277,93979,0.00942763808936039,0.386458676938465,0.125059853797125,0.343264659270998,11219
"113",138,11220,"8600000US11220","ZCTA5 11220",100412,42017,13911,1521,145,41705,0,291,822,33.7,7825,7101,6195,5145,6563,19118,15577,12992,5275,4446,5614,3445,1116,28766,2087,2088,4545,3263,4098,4678,3118,2873,1018,998,42559,61554,36047,"Brooklyn","Brooklyn","BRONX",0.307,100412,0.0151475919212843,0.861460781579891,0.418446002469824,0.303135646249044,11220
"114",139,11221,"8600000US11221","ZCTA5 11221",84536,30934,11821,36985,187,3098,0,305,1206,31.5,5685,4830,4561,5338,8439,17684,11720,10004,4353,3396,5068,2487,971,29818,3900,2188,2954,2928,3659,4613,3181,3994,1233,1168,47170,66368,36047,"Brooklyn","Brooklyn","BRONX",0.361,84536,0.437505914639917,0.860166083088862,0.365926942367749,0.303239653900329,11221
"115",140,11222,"8600000US11222","ZCTA5 11222",36845,5124,26941,1323,51,2174,9,247,976,35,1484,1002,858,1019,2030,12022,6853,3920,1945,1720,2216,1182,594,17508,1355,645,1492,1037,1386,2638,2384,3323,1435,1813,78287,95585,36047,"Brooklyn","Brooklyn","BRONX",0.515,36845,0.0359071787216719,0.268801737006378,0.139069073144253,0.199451679232351,11222
"116",141,11223,"8600000US11223","ZCTA5 11223",80855,11958,44117,3078,174,19470,132,293,1633,36.2,7190,5193,4384,4853,5062,12539,9883,9307,5125,4686,6489,4128,2016,27527,2666,2293,3616,2664,3214,3990,2949,3363,1367,1405,46310,71341,36047,"Brooklyn","Brooklyn","BRONX",0.385,80855,0.0380681466823326,0.454368932038835,0.147894378826294,0.311512333345443,11223
"117",142,11224,"8600000US11224","ZCTA5 11224",45244,8562,23308,9887,101,2654,9,241,482,45.8,2627,2632,2253,2341,2490,5008,4847,5293,2847,3129,5443,4288,2046,18551,2406,3173,2628,1680,2132,2535,1546,1436,481,534,31630,53095,36047,"Brooklyn","Brooklyn","BRONX",0.271,45244,0.218526213420564,0.484837768543895,0.189240562284502,0.442402026844914,11224
"118",143,11225,"8600000US11225","ZCTA5 11225",59497,5196,13661,37407,46,1551,65,498,1073,34.7,3298,2897,3525,2795,4445,13017,7962,7009,3292,3644,4605,2151,857,23462,1866,1327,2399,2191,3414,4299,3043,2938,881,1104,51926,74178,36047,"Brooklyn","Brooklyn","BRONX",0.36,59497,0.628720775837437,0.770391784459721,0.0873321343933308,0.238342852271759,11225
"119",144,11226,"8600000US11226","ZCTA5 11226",102585,18225,11327,66980,39,3423,0,393,2198,34.1,7257,6355,6303,6325,7305,19419,14348,12106,5555,6045,6877,3477,1213,36677,3675,2206,3593,4312,4980,6717,4400,4045,1448,1301,48495,66439,36047,"Brooklyn","Brooklyn","BRONX",0.33,102585,0.652921967149193,0.889584247209631,0.177657552273724,0.25830902200289,11226
"120",145,11228,"8600000US11228","ZCTA5 11228",44676,5461,23581,298,74,14759,34,61,408,40.4,3051,2346,2265,2624,2357,6434,6131,5714,3161,3089,3710,2438,1356,15033,794,693,1433,1289,1644,2616,1698,2529,1162,1175,63697,89178,36047,"Brooklyn","Brooklyn","BRONX",0.462,44676,0.00667024800787895,0.472177455457069,0.122235652251768,0.194239340118406,11228
"121",146,11229,"8600000US11229","ZCTA5 11229",85776,9666,51339,4214,9,18975,76,133,1364,40.5,5522,5097,5050,4248,5551,11331,10322,11525,6166,6087,8131,4454,2292,31058,2493,2086,3041,2724,3493,4750,3386,4985,1938,2162,59287,79904,36047,"Brooklyn","Brooklyn","BRONX",0.443,85776,0.0491279612012684,0.401475937325126,0.112688864017907,0.245347414514779,11229
"122",147,11230,"8600000US11230","ZCTA5 11230",90257,9245,59782,6435,308,12708,0,419,1360,33.5,8313,6746,6397,5710,6591,13063,10239,9762,5072,4851,7070,4008,2435,30831,3007,3253,3550,3015,3526,4723,2876,3357,1449,2075,46013,73991,36047,"Brooklyn","Brooklyn","BRONX",0.409,90257,0.0712964091427812,0.337646941511462,0.102429728442115,0.31818624112095,11230
"123",148,11231,"8600000US11231","ZCTA5 11231",37680,7747,22187,4380,0,1868,0,272,1226,36.2,3169,2373,1956,1517,1401,7454,6989,5013,2136,1795,2211,1244,422,15562,1731,694,969,827,944,1607,1333,2129,1909,3419,93575,145130,36047,"Brooklyn","Brooklyn","BRONX",0.653,37680,0.116242038216561,0.411173036093418,0.205599787685775,0.21809536049351,11231
"124",149,11232,"8600000US11232","ZCTA5 11232",28992,15371,5809,1478,143,5540,19,95,537,33.5,1870,2137,1363,1459,2057,6564,4749,4175,1166,1256,1358,639,199,8808,743,517,738,937,1172,1443,1297,1117,414,430,53908,72353,36047,"Brooklyn","Brooklyn","BRONX",0.378,28992,0.0509795805739514,0.799634381898455,0.530180739514349,0.226839237057221,11232
"125",150,11233,"8600000US11233","ZCTA5 11233",74982,12091,4838,55447,48,1294,0,80,1184,33.2,5765,4940,4632,4877,6427,12717,9811,10107,3920,3574,4793,2560,859,28424,4971,2477,3350,3108,3552,3786,2515,2712,1034,919,36009,55867,36047,"Brooklyn","Brooklyn","BRONX",0.322,74982,0.739470806326852,0.935477848016857,0.16125203382145,0.379890233605404,11233
"126",151,11234,"8600000US11234","ZCTA5 11234",97741,9913,37070,43346,78,5867,9,376,1082,40.4,5534,6072,6490,5999,5832,12534,11939,13570,7251,6847,8950,4518,2205,31926,1413,1135,2083,2230,3166,4743,4877,6424,3154,2701,79490,99504,36047,"Brooklyn","Brooklyn","BRONX",0.495,97741,0.443478171903295,0.620732343642893,0.101421102710224,0.145054187809309,11234
"127",152,11235,"8600000US11235","ZCTA5 11235",80222,7020,58171,1818,262,11378,0,184,1389,44.3,4635,4067,3918,3441,3737,10587,10436,10401,5474,5251,8542,6469,3264,32828,3076,3580,3399,3056,3354,5337,2938,3952,2238,1898,49653,74060,36047,"Brooklyn","Brooklyn","BRONX",0.416,80222,0.0226621126374311,0.274874722644661,0.0875071676098826,0.306293408066285,11235
"128",153,11236,"8600000US11236","ZCTA5 11236",100633,6638,4450,85098,371,2733,0,413,930,37.9,6094,5414,6468,6636,7941,14309,12550,14314,7369,6594,7953,3437,1554,32903,2201,1568,2772,2703,4058,5504,4864,5534,2266,1433,63700,78215,36047,"Brooklyn","Brooklyn","BRONX",0.404,100633,0.845627179950911,0.955779913149762,0.0659624576431191,0.198796462328663,11236
"129",154,11237,"8600000US11237","ZCTA5 11237",52319,33492,9789,3840,107,4107,13,217,754,30.3,2972,2826,3475,3041,6095,13506,7720,5553,2245,1584,2024,928,350,16789,1705,1104,2021,1330,2099,2776,1858,2346,982,568,51269,67865,36047,"Brooklyn","Brooklyn","BRONX",0.367,52319,0.0733958982396452,0.812897800034404,0.640149849958906,0.287688367383406,11237
"130",155,11238,"8600000US11238","ZCTA5 11238",55398,6191,22057,21170,33,3276,11,342,2318,35.6,3424,2067,2037,1448,3227,14695,9496,6166,2959,2984,4238,1786,871,24510,1793,1296,1470,1508,2211,3292,3298,4266,2375,3001,79013,107890,36047,"Brooklyn","Brooklyn","BRONX",0.542,55398,0.382143759702516,0.601844831943391,0.111754937001336,0.186005711954304,11238
"131",156,11239,"8600000US11239","ZCTA5 11239",12713,2214,2585,7372,110,358,0,0,74,47.7,488,728,691,532,909,1146,1370,1634,775,899,1764,1216,561,6569,765,1455,1010,601,1090,1058,309,224,0,57,26002,36537,36047,"Brooklyn","Brooklyn","BRONX",0.04,12713,0.579878864154802,0.796664831275073,0.174152442381814,0.491703455624905,11239
"132",158,11354,"8600000US11354","ZCTA5 11354",57566,9211,9458,1832,36,35815,6,377,831,44.2,2819,2469,2385,1978,3384,8895,7530,9423,4641,3475,5218,3320,2029,20299,2212,1128,2964,2178,2722,3123,2349,1940,852,831,44512,63624,36081,"Flushing","Queens","QUEENS",0.34,57566,0.0318243407566967,0.835701629434041,0.160007643400618,0.310557170303956,11354
"133",159,11355,"8600000US11355","ZCTA5 11355",82890,11631,6719,2431,302,60228,72,454,1053,42.3,4601,3874,3186,3443,5093,12491,11375,13769,5773,5450,6992,4684,2159,27523,3117,2257,3755,3533,3690,4132,2614,2622,1087,716,38370,55963,36081,"Flushing","Queens","QUEENS",0.292,82890,0.0293280250934974,0.918940764869104,0.140318494390156,0.331686226065472,11355
"134",160,11356,"8600000US11356","ZCTA5 11356",24069,9591,5941,515,0,7444,55,80,443,38,1697,1297,1425,1266,1531,3808,3130,3495,1611,1711,1602,1170,326,7541,410,223,810,768,903,1509,1060,1115,431,312,59712,76125,36081,"College Point","Queens","QUEENS",0.375,24069,0.0213968174830695,0.753167975404047,0.398479371806058,0.191353931839279,11356
"135",161,11357,"8600000US11357","ZCTA5 11357",41393,6004,24778,175,58,9330,15,123,910,44.8,2482,1963,2451,2160,2114,4579,5019,6091,2934,2864,4593,2838,1305,14735,371,536,1086,934,1554,2419,2218,2787,1621,1209,81053,100134,36081,"Whitestone","Queens","QUEENS",0.491,41393,0.00422776798009325,0.401396371367139,0.145048679728457,0.135256192738378,11357
"136",162,11358,"8600000US11358","ZCTA5 11358",36959,6109,13263,229,54,16551,0,202,551,43.5,1729,1547,1754,1743,2062,5544,4963,5505,2912,2401,3786,2215,798,12820,692,425,1303,813,1684,2176,1381,2203,1065,1078,65932,88217,36081,"Flushing","Queens","QUEENS",0.476,36959,0.00619605508807056,0.641142888065153,0.165291268703158,0.188767550702028,11358
"137",164,11360,"8600000US11360","ZCTA5 11360",19501,1749,11465,117,56,5754,0,59,301,48.4,1076,901,864,639,737,1892,2843,2547,1549,1421,2258,1672,1102,8382,438,364,644,375,797,1173,1187,1510,875,1019,84476,102457,36081,"Bayside","Queens","QUEENS",0.541,19501,0.00599969232347059,0.41208143172145,0.0896877083226501,0.172512526843236,11360
"138",165,11361,"8600000US11361","ZCTA5 11361",29072,4239,12294,901,0,11238,0,19,381,41.3,1408,1424,1504,1551,1717,4240,4304,3948,2122,1783,2765,1366,940,10378,342,308,678,759,980,1665,1521,2051,1076,998,82020,99655,36081,"Bayside","Queens","QUEENS",0.508,29072,0.0309920198128784,0.577118877270226,0.145810401761145,0.127962998650992,11361
"139",166,11362,"8600000US11362","ZCTA5 11362",18443,1641,8027,150,0,8089,0,67,469,48.9,1063,963,654,695,776,1872,2523,2290,1530,1474,2392,1115,1096,7163,337,160,404,704,597,1272,929,1391,772,597,80828,97327,36081,"Little Neck","Queens","QUEENS",0.494,18443,0.00813316705525131,0.564767120316651,0.0889768475844494,0.125785285494904,11362
"140",167,11363,"8600000US11363","ZCTA5 11363",7423,1223,3767,87,0,2245,0,17,84,45.3,411,415,500,310,330,767,957,1130,690,386,844,423,260,2620,83,19,151,176,237,399,284,601,266,404,97784,128817,36081,"Little Neck","Queens","QUEENS",0.572,7423,0.0117203287080695,0.492523238582783,0.164758184022632,0.0965648854961832,11363
"141",168,11364,"8600000US11364","ZCTA5 11364",35885,3517,12732,852,120,18024,0,54,586,44.7,2016,1645,1907,1964,1586,4343,4679,5615,2724,2799,3956,1714,937,13385,611,410,980,922,1577,2585,1469,2458,1268,1105,71030,94268,36081,"Oakland Gardens","Queens","QUEENS",0.481,35885,0.0237425107983837,0.645199944266407,0.0980075240351122,0.149495704146433,11364
"142",169,11365,"8600000US11365","ZCTA5 11365",45565,8540,12175,3053,123,20238,16,541,879,41.3,3350,2310,2306,2107,2809,6359,5806,7129,3391,3129,3457,2062,1350,15657,1040,643,1483,1637,1571,2711,1876,2524,1292,880,63455,82750,36081,"Fresh Meadows","Queens","QUEENS",0.433,45565,0.067003182267091,0.732799297706573,0.187424558323274,0.202209874177684,11365
"143",170,11366,"8600000US11366","ZCTA5 11366",14308,1148,5367,735,0,6672,0,0,386,40.5,794,721,765,803,1266,1954,1590,1943,946,1051,1428,682,365,4456,345,102,274,377,529,721,493,712,321,582,67115,94635,36081,"Fresh Meadows","Queens","QUEENS",0.53,14308,0.0513698630136986,0.62489516354487,0.0802348336594912,0.161804308797127,11366
"144",171,11367,"8600000US11367","ZCTA5 11367",43496,7622,20206,3095,100,11309,0,0,1164,35,3921,3112,2167,2538,3136,6844,5021,4228,2898,3151,3836,1815,829,14670,849,948,1472,1214,1835,2456,1852,2232,1114,698,58924,78082,36081,"Flushing","Queens","QUEENS",0.409,43496,0.0711559683649071,0.535451535773404,0.175234504322237,0.222835719154738,11367
"145",172,11368,"8600000US11368","ZCTA5 11368",114647,83893,5046,11313,203,13237,0,428,527,32,10441,8344,7641,6796,8656,21406,18387,13074,5173,4599,5915,2798,1417,28275,1859,1462,3161,3496,4842,5225,3663,3201,909,457,47862,61032,36081,"Corona","Queens","QUEENS",0.263,114647,0.0986768079408968,0.955986637243015,0.731750503720115,0.229248452696729,11368
"146",173,11369,"8600000US11369","ZCTA5 11369",37325,23917,2741,5373,23,4936,0,108,227,36.9,2571,1950,2271,2138,2990,5774,4890,5145,2454,1969,2777,1660,736,10720,885,313,1063,1164,1625,1899,1408,1493,619,251,53426,68949,36081,"East Elmhurst","Queens","QUEENS",0.337,37325,0.143951774949766,0.926563965170797,0.640776959142666,0.210914179104478,11369
"147",174,11370,"8600000US11370","ZCTA5 11370",33789,12944,8300,4489,22,7499,0,142,393,37.3,1567,1108,1597,2323,3067,6180,5273,5258,1885,1574,2080,1321,556,8365,522,434,612,838,964,1360,1229,1313,718,375,59901,84987,36081,"East Elmhurst","Queens","QUEENS",0.416,33789,0.132853887359792,0.75435792713605,0.3830832519459,0.18744769874477,11370
"148",176,11372,"8600000US11372","ZCTA5 11372",64298,38125,11047,990,29,12903,108,196,900,39.7,3544,3305,3212,2762,3543,10692,10579,9796,3740,3588,5960,2452,1125,24051,1044,1160,2614,2815,3523,5322,2906,2569,1018,1080,53963,69795,36081,"Jackson Heights","Queens","QUEENS",0.34,64298,0.0153970574512427,0.82819061246073,0.592942237705683,0.200324310839466,11372
"149",177,11373,"8600000US11373","ZCTA5 11373",96353,37278,6611,1826,154,48606,12,415,1451,38.6,5670,5209,4682,4353,5936,16639,15624,13002,6595,5785,7448,3970,1440,30216,2231,1604,3730,3288,4448,5803,3124,3609,1358,1021,49098,65321,36081,"Elmhurst","Queens","QUEENS",0.329,96353,0.0189511483814723,0.931387709775513,0.386889873693606,0.250364045538787,11373
"150",178,11374,"8600000US11374","ZCTA5 11374",43540,7535,19741,1527,61,13032,0,105,1539,44,2361,2039,1356,1359,1971,7557,5615,5448,3818,3039,4748,2921,1308,19276,1694,1100,2027,1461,2401,2773,2454,2897,1449,1020,56863,77779,36081,"Rego Park","Queens","QUEENS",0.424,43540,0.0350711988975655,0.546600826825907,0.173059255856683,0.250103755965968,11374
"151",179,11375,"8600000US11375","ZCTA5 11375",72937,10991,37039,1693,157,20580,68,87,2322,41.9,4993,4189,3199,2419,2417,10598,12122,9960,4897,4206,6964,4515,2458,32492,2011,1422,2556,2200,2472,5243,4360,5737,3213,3278,76467,101342,36081,"Forest Hills","Queens","QUEENS",0.515,72937,0.0232118129344503,0.492178181170051,0.150691692830799,0.1843222947187,11375
"152",180,11377,"8600000US11377","ZCTA5 11377",89688,34667,17508,1663,200,33767,0,170,1713,38.9,4464,4381,4403,3760,5248,15792,16201,13284,5554,4249,7265,3917,1170,31464,1625,1337,2894,3493,4735,6929,4259,3475,1671,1046,54989,69474,36081,"Woodside","Queens","QUEENS",0.333,89688,0.0185420569083935,0.804789938453305,0.386528855588262,0.186117467581998,11377
"153",181,11378,"8600000US11378","ZCTA5 11378",35844,11209,19684,360,69,3972,0,73,477,38.4,2301,2030,1985,2003,2176,5728,5088,5054,2491,2253,2537,1409,789,12623,816,505,993,1059,1263,2262,1858,2136,1024,707,68460,86987,36081,"Maspeth","Queens","QUEENS",0.436,35844,0.0100435219283562,0.450842539895101,0.31271621470818,0.183316168898043,11378
"154",182,11379,"8600000US11379","ZCTA5 11379",37524,7583,24979,452,0,3957,0,125,428,43.2,1789,2149,2054,1706,1760,4997,5184,5738,2923,2264,3567,2423,970,13528,634,398,959,1026,1277,2112,1905,2821,1417,979,79573,95587,36081,"Middle Village","Queens","QUEENS",0.484,37524,0.0120456241338876,0.334319368937214,0.202083999573606,0.147176227084565,11379
"155",183,11385,"8600000US11385","ZCTA5 11385",106598,47161,49295,1482,41,7543,0,283,793,35.4,6568,6610,6321,6213,7804,18790,16404,14687,6728,5681,5847,3598,1347,34993,2189,1419,2896,2813,4296,6301,5413,6120,2091,1455,64481,78239,36081,"Ridgewood","Queens","QUEENS",0.394,106598,0.0139026998630368,0.537561680331714,0.442419182348637,0.185865744577487,11385
"156",184,11411,"8600000US11411","ZCTA5 11411",19990,1142,247,18153,23,65,0,115,245,44.3,954,887,1148,967,1443,2309,2506,3006,1712,1130,2261,1247,420,6052,230,164,270,413,516,1051,862,1347,688,511,87231,101581,36081,"Cambria Heights","Queens","QUEENS",0.505,19990,0.908104052026013,0.987643821910955,0.0571285642821411,0.109715796430932,11411
"157",185,11412,"8600000US11412","ZCTA5 11412",38833,2517,279,33335,167,1228,22,208,1077,39.5,2534,2110,2345,2461,3101,4969,4358,5994,3225,2199,3147,1645,745,10957,415,487,747,879,1075,1862,1580,2226,1071,615,75307,89346,36081,"Saint Albans","Queens","QUEENS",0.454,38833,0.858419385574125,0.992815388973296,0.064816007004352,0.150497398923063,11412
"158",186,11413,"8600000US11413","ZCTA5 11413",42895,2399,610,38195,71,572,82,372,594,39.3,2298,2418,2670,3250,2852,5551,5393,6697,2647,2449,3687,2277,706,12133,393,309,648,869,1108,2002,1945,2610,1397,852,83459,97251,36081,"Springfield Gardens","Queens","QUEENS",0.486,42895,0.890430120060613,0.985779228348292,0.0559272642499126,0.111266793043765,11413
"159",187,11414,"8600000US11414","ZCTA5 11414",29203,6870,19825,745,0,1140,0,312,311,45.2,1823,1284,1658,1352,1301,2980,4103,3938,2159,2272,2902,2040,1391,10511,725,453,760,681,1304,1538,1473,1725,1051,801,72632,96563,36081,"Howard Beach","Queens","QUEENS",0.48,29203,0.0255110776290107,0.321131390610554,0.235249803102421,0.184378270383408,11414
"160",188,11415,"8600000US11415","ZCTA5 11415",19900,4770,9506,1028,50,3896,0,108,542,38.6,1260,1051,1145,895,917,3420,3044,2504,1212,1244,1862,839,507,8489,519,332,817,683,875,1685,1343,1058,600,577,65981,85176,36081,"Kew Gardens","Queens","QUEENS",0.432,19900,0.0516582914572864,0.522311557788945,0.239698492462312,0.196489574743786,11415
"161",189,11416,"8600000US11416","ZCTA5 11416",27567,12224,3630,1282,1,9163,26,425,816,35.3,1835,1591,1737,2098,2327,4043,3724,4151,1915,1458,1604,811,273,7216,375,161,786,634,1048,1142,1185,1102,536,247,61285,76532,36081,"Ozone Park","Queens","QUEENS",0.382,27567,0.0465048790220191,0.86832081836979,0.443428737258316,0.18320399113082,11416
"162",190,11417,"8600000US11417","ZCTA5 11417",32425,12155,6547,1851,0,9681,7,1115,1069,37.9,1978,1751,1970,2300,2660,4407,4313,5074,2380,1694,2484,929,485,9035,439,335,846,623,974,1563,1284,1696,713,562,69989,86034,36081,"Ozone Park","Queens","QUEENS",0.446,32425,0.0570855821125675,0.798087895142637,0.374865073245952,0.179302711676812,11417
"163",191,11418,"8600000US11418","ZCTA5 11418",39267,17654,6094,2711,239,10242,0,920,1407,34.3,2856,2588,2515,2547,3027,6478,5247,5670,2311,2294,2194,1062,478,10940,695,333,666,969,1267,2215,1561,1977,676,581,67003,82300,36081,"Richmond Hill","Queens","QUEENS",0.416,39267,0.0690401609493977,0.844806071255762,0.449588713168819,0.154844606946984,11418
"164",192,11419,"8600000US11419","ZCTA5 11419",52392,10729,2037,8701,418,15361,0,12470,2676,36.1,3234,2433,3051,3284,4595,8696,6816,8096,3654,3131,3379,1584,439,12724,568,504,1076,1083,1521,2624,1805,1890,933,720,65711,82122,36081,"South Richmond Hill","Queens","QUEENS",0.417,52392,0.166074973278363,0.961120018323408,0.204783173003512,0.168814838101226,11419
"165",193,11420,"8600000US11420","ZCTA5 11420",49396,11356,2963,11375,504,14302,54,5935,2907,38.1,2507,2813,3037,3322,4086,6949,6585,7603,4005,2724,3611,1530,624,13226,601,376,1142,1141,1888,2110,1887,2250,1098,733,66220,85258,36081,"South Ozone Park","Queens","QUEENS",0.43,49396,0.230281804194672,0.940015385861203,0.229897157664588,0.160214728564948,11420
"166",194,11421,"8600000US11421","ZCTA5 11421",43567,25257,7436,1279,75,8816,0,215,489,37.5,2634,2652,2549,2586,3615,6306,6303,6211,3339,2411,3195,1252,514,11972,558,401,927,992,1360,2249,1765,2230,837,653,69053,84642,36081,"Woodhaven","Queens","QUEENS",0.425,43567,0.0293570821952395,0.829320357151055,0.57972777560998,0.157534246575342,11421
"167",195,11422,"8600000US11422","ZCTA5 11422",33479,2960,1309,27804,42,689,0,161,514,37.4,1948,1925,1883,2033,2523,5232,4197,5202,2628,1907,2618,996,387,9686,333,208,548,658,804,1490,1728,2176,1086,655,86996,96500,36081,"Rosedale","Queens","QUEENS",0.485,33479,0.830490755398907,0.960900863227695,0.0884136324262971,0.112430311790213,11422
"168",196,11423,"8600000US11423","ZCTA5 11423",32407,4524,3245,11959,341,9580,0,1865,893,39.9,1823,1575,1799,1869,2355,4645,4338,4542,2600,2221,2780,1213,647,9817,458,385,961,650,1352,1722,1424,1537,755,573,66455,84986,36081,"Hollis","Queens","QUEENS",0.427,32407,0.369025210602648,0.899867312617644,0.139599469250471,0.183762860344301,11423
