LEAD SOURCE,TYPE OF JOB,tot,was_sold,n
All Other Sources,REMODEL,12,SOLD,1
Angies List,W/D,12,SOLD,1
HS Dome,COMBINATION,12,SOLD,3
HS Dome,REMODEL,12,SOLD,0
Google/Search,ROOF,11,SOLD,1
RSS,COMBINATION,11,SOLD,3
Unknown,REMODEL,11,SOLD,2
All Other Sources,SIDING,10,SOLD,1
Website (WS),All Other Jobs,10,SOLD,6
BS,SIDING,9,SOLD,4
BS,W/D,9,SOLD,1
HS Dome,SIDING,9,SOLD,4
PQ,SIDING,9,SOLD,3
RSS,REMODEL,9,SOLD,3
Referral (REF),PROGRAM,8,SOLD,1
RSS,SIDING,8,SOLD,0
Unknown,COMBINATION,8,SOLD,3
REP,W/D,7,SOLD,3
Angies List,All Other Jobs,6,SOLD,2
PQ,W/D,6,SOLD,5
Google/Search,COMBINATION,5,SOLD,1
JS,W/D,5,SOLD,2
PQ,REMODEL,5,SOLD,0
Referral (REF),COMMERCIAL,5,SOLD,3
All Other Sources,W/D,4,SOLD,2
BS,All Other Jobs,4,SOLD,0
Google/Search,SIDING,4,SOLD,2
REP,REMODEL,4,SOLD,1
Unknown,SIDING,4,SOLD,1
Google/Search,All Other Jobs,3,SOLD,2
PQ,All Other Jobs,3,SOLD,3
Prog City/County/Town,ROOF,3,SOLD,2
RSS,All Other Jobs,3,SOLD,0
Website (WS),PROGRAM,3,SOLD,1
All Other Sources,All Other Jobs,2,SOLD,2
All Other Sources,PROGRAM,2,SOLD,0
Google/Search,PROGRAM,2,SOLD,1
Home Advisor,COMBINATION,2,SOLD,2
PQ,COMMERCIAL,2,SOLD,1
Previous Cust. (PC),PROGRAM,2,SOLD,0
Prog City/County/Town,COMBINATION,2,SOLD,0
REP,All Other Jobs,2,SOLD,1
RSS,W/D,2,SOLD,1
Unknown,All Other Jobs,2,SOLD,0
Angies List,PROGRAM,1,SOLD,0
Google/Search,REMODEL,1,SOLD,0
Home Advisor,All Other Jobs,1,SOLD,1
HS Dome,All Other Jobs,1,SOLD,0
HS Dome,W/D,1,SOLD,0
JS,All Other Jobs,1,SOLD,0
PQ,PROGRAM,1,SOLD,0
REP,COMMERCIAL,1,SOLD,0
RSS,COMMERCIAL,1,SOLD,0
Unknown,COMMERCIAL,1,SOLD,1
Unknown,W/D,1,SOLD,0
