,latlon,zip_code
6950,"40.757725,-73.779274",11361
7137,"40.737457,-73.74109",11364
7325,"40.83516,-73.94561",10032
7514,"40.719997,-73.76198",11423
7704,"40.87447,-73.861084",10469
7895,"40.826275,-73.85971",10472
8087,"40.851654,-73.91566",10453
8280,"40.696144,-73.97834",11205
8474,"40.712223,-73.8065",11432
8669,"40.57981,-73.837204",11694
8865,"40.664494,-73.93431",11213
9062,"40.665882,-73.99642",11232
9260,"40.684166,-73.92931",11233
9657,"40.76449,-73.930374",11106
9857,"40.67732,-73.826454",11420
10058,"40.78517,-73.94332",10029
10260,"40.811108,-73.92734",10451
10463,"40.696354,-73.94071",11206
10667,"40.8165,-73.946556",10030
10872,"40.689297,-73.93033",11221
11078,"40.663303,-73.960625",11225
11285,"40.82523,-73.94761",10031
11493,"40.725727,-73.84809",11375
11702,"40.72802,-73.86368",11374
11912,"40.623207,-73.95715",11230
12123,"40.743824,-73.979515",10016
12335,"40.755394,-73.911964",11377
12548,"40.639324,-74.17128",10303
12762,"40.612343,-74.16542",10314
12977,"40.825424,-73.923485",10451
13193,"40.819477,-73.92689",10451
13410,"40.688255,-73.979294",11201
13628,"40.675785,-73.90269",11207
13847,"40.700733,-73.98974",11201
14067,"40.818535,-73.90783",10456
14288,"40.523956,-74.21568",10309
14510,"40.866673,-73.90896",10468
14733,"40.67856,-73.889015",11207
14957,"40.673588,-73.73351",11422
15182,"40.868015,-73.89997",10468
15408,"40.686745,-73.96553",11238
15635,"40.667164,-73.93407",11213
15863,"40.75348,-73.980896",10018
16092,"40.767185,-73.96248",10065
16322,"40.724667,-73.82076",11367
16553,"40.706684,-73.79915",11432
16785,"40.761585,-73.76086",11361
17018,"40.571625,-74.11192",10306
17252,"40.71123,-73.85575",11375
17487,"40.877068,-73.906105",10463
17723,"40.655334,-73.93077",11203
17960,"40.737732,-73.98817",10003
18198,"40.830845,-73.947235",10031
18437,"40.614063,-74.01393",11228
18677,"40.80639,-73.94431",10027
18918,"40.791084,-73.953445",10029
19160,"40.879456,-73.91678",10463
19403,"40.822643,-73.953224",10031
19647,"40.82146,-73.94461",10030
19892,"40.692703,-73.75857",11412
20138,"40.867516,-73.88503",10458
20385,"40.68187,-73.96348",11238
20633,"40.688744,-73.90875",11207
20882,"40.75514,-73.92213",11101
21132,"40.741398,-73.77841",11365
21383,"40.712284,-73.78536",11432
21635,"40.76197,-73.92539",11106
21888,"40.733128,-73.783035",11365
22142,"40.75244,-73.950905",11101
22397,"40.66925,-73.93944",11213
22653,"40.770527,-73.92731",11102
22910,"40.768593,-73.98522",10019
23168,"40.70715,-73.79299",11432
23427,"40.72551,-74.004036",10013
23687,"40.75546,-73.88631",11370
23948,"40.792126,-73.97178",10025
24210,"40.68333,-73.95612",11238
24473,"40.730194,-73.77758",11366
24737,"40.755512,-73.820305",11355
25002,"40.706493,-73.90285",11385
25268,"40.75563,-73.81564",11355
25535,"40.764988,-73.96116",10065
25803,"40.596687,-73.74422",11691
26072,"40.73681,-73.952644",11222
26342,"40.716053,-73.80313",11432
26613,"40.773594,-73.91179",11105
26885,"40.60855,-74.13216",10314
27158,"40.7375,-73.76888",11364
27432,"40.832916,-73.92939",10452
27707,"40.70229,-73.91281",11237
27983,"40.826374,-73.85292",10473
28260,"40.763695,-73.81911",11354
28538,"40.68983,-73.86338",11421
28817,"40.764454,-73.83178",11354
29097,"40.73793,-73.90856",11377
29378,"40.602802,-73.74879",11691
29660,"40.71356,-74.00904",10007
29943,"40.805096,-73.95488",10026
30227,"40.65728,-73.947365",11225
30512,"40.76943,-73.91025",11105
30798,"40.875492,-73.86052",10467
31085,"40.826427,-73.950455",10031
31373,"40.87437,-73.91012",10463
31662,"40.792244,-73.94629",10029
31952,"40.752064,-73.97351",10017
32243,"40.694283,-73.7374",11411
32535,"40.66895,-73.9339",11213
32828,"40.84494,-73.92044",10452
33122,"40.7597,-73.993546",10036
33417,"40.75809,-73.795815",11358
33713,"40.659584,-73.94761",11225
34010,"40.878128,-73.902336",10463
34308,"40.818314,-73.836",10465
34607,"40.836315,-73.85267",10462
34907,"40.70792,-73.816826",11435
35208,"40.66667,-73.767006",11434
35510,"40.87323,-73.889435",10468
35813,"40.700596,-73.95783",11249
36117,"40.70241,-73.96231",11249
36422,"40.723305,-74.00299",10013
36728,"40.768555,-73.924965",11102
37035,"40.861862,-73.91282",10468
37343,"40.766716,-73.96914",10065
37652,"40.68723,-73.941795",11221
37962,"40.729084,-73.98133",10009
38273,"40.71224,-73.957146",11211
38585,"40.68186,-73.769966",11434
38898,"40.682835,-73.94092",11216
39212,"40.583538,-73.949615",11235
39527,"40.69305,-73.85384",11421
39843,"40.90651,-73.8489",10470
40160,"40.664043,-73.736534",11422
40478,"40.608562,-74.1472",10314
40797,"40.761623,-73.97918",10019
41117,"40.664112,-73.91984",11212
41438,"40.635017,-74.00268",11219
41760,"40.851967,-73.897095",10457
42083,"40.830986,-73.91139",10456
42407,"40.84434,-73.91475",10452
42732,"40.75245,-73.99329",10001
43058,"40.70028,-73.941154",11206
43385,"40.668034,-73.994446",11215
43713,"40.663227,-73.93159",11213
44042,"40.73072,-73.98906",10003
44372,"40.64479,-74.01433",11220
44703,"40.55403,-74.14052",10308
45035,"40.87831,-73.870155",10467
45368,"40.760273,-73.98386",10019
45702,"40.723747,-74.00612",10013
46037,"40.631985,-74.132614",10302
46373,"40.768887,-73.90691",11105
46710,"40.680016,-73.87743",11208
47048,"40.642204,-73.991936",11219
47387,"40.72535,-73.99574",10012
47727,"40.590546,-74.10535",10304
48068,"40.62464,-74.14167",10302
48410,"40.76122,-73.93056",11106
48753,"40.77039,-73.91771",11102
49097,"40.689583,-73.987564",11201
49442,"40.700577,-73.94308",11206
49788,"40.82841,-73.88142",10472
50135,"40.85532,-73.84801",10461
50483,"40.74636,-73.993996",10001
50832,"40.706657,-74.015915",10006
51182,"40.710945,-74.01441",10006
51533,"40.755486,-73.82472",11355
51885,"40.674736,-73.925",11233
52238,"40.65204,-73.887955",11207
52592,"40.656845,-73.95022",11226
52947,"40.858673,-73.899216",10468
53303,"40.752106,-73.94424",11101
53660,"40.70766,-73.913445",11385
54018,"40.86268,-73.90905",10468
54377,"40.85735,-73.936584",10040
54737,"40.77353,-73.98534",10023
55098,"40.858406,-73.89061",10458
55460,"40.83988,-73.916794",10452
55823,"40.830345,-73.92328",10452
56187,"40.60168,-74.1633",10314
56552,"40.692547,-73.990974",11201
56918,"40.669495,-73.91069",11212
57285,"40.64581,-74.00242",11220
57653,"40.622086,-74.02865",11209
58022,"40.872585,-73.88128",10458
58392,"40.621704,-74.14859",10314
58763,"40.765137,-73.81944",11354
59135,"40.57702,-73.9642",11235
59508,"40.824795,-73.91111",10456
59882,"40.837,-73.88663",10460
60257,"40.574905,-74.121735",10306
60633,"40.625137,-74.13569",10302
61010,"40.5878,-74.16564",10314
61388,"40.764236,-73.93701",11106
61767,"40.774612,-73.92399",11102
62147,"40.85447,-73.88539",10458
62528,"40.750195,-73.939835",11101
62910,"40.709023,-73.798195",11432
63293,"40.63932,-74.02356",11220
63677,"40.822933,-73.94747",10031
64062,"40.766403,-73.98312",10019
64448,"40.73129,-73.9904",10003
64835,"40.71793,-73.73696",11428
65223,"40.699368,-73.95924",11249
65612,"40.826397,-73.92116",10451
66002,"40.79347,-73.93726",10029
66393,"40.767967,-73.96822",10065
66785,"40.73384,-74.00121",10014
67178,"40.65487,-73.96191",11215
67572,"40.759895,-73.823944",11355
67967,"40.718975,-73.8167",11367
68363,"40.700512,-73.81653",11418
68760,"40.678818,-73.86417",11208
69158,"40.67146,-73.99103",11215
69557,"40.827587,-73.91326",10456
69957,"40.777473,-73.98884",10069
70358,"40.625027,-74.14802",10314
70760,"40.688904,-73.980934",11201
71163,"40.67446,-73.9063",11233
71567,"40.64412,-73.98907",11232
71972,"40.82929,-73.91642",10456
72378,"40.578537,-74.169556",10314
72785,"40.738503,-73.991806",10011
73193,"40.679592,-73.93488",11233
73602,"40.741024,-73.97862",10016
74012,"40.688213,-73.919815",11221
74423,"40.679607,-73.93847",11213
74835,"40.67662,-73.9831",11215
75248,"40.84288,-73.913574",10452
75662,"40.589993,-74.15691",10314
76077,"40.76732,-73.92231",11102
76493,"40.772015,-73.73436",11363
76910,"40.701958,-73.9239",11237
77328,"40.84152,-73.8746",10460
77747,"40.774853,-73.98067",10023
78167,"40.59525,-73.756485",11691
78588,"40.702007,-73.821205",11418
79010,"40.737434,-73.95252",11222
79433,"40.668022,-73.96189",11225
79857,"40.651604,-73.933304",11203
80282,"40.60754,-73.99519",11214
80708,"40.764935,-73.98654",10019
81135,"40.634106,-74.12917",10302
81563,"40.895374,-73.86356",10470
81992,"40.735146,-73.98792",10003
82422,"40.732758,-73.990036",10003
82853,"40.675755,-73.943855",11213
83285,"40.731514,-73.98906",10003
83718,"40.720665,-73.99392",10012
84152,"40.69558,-73.83949",11418
84587,"40.846893,-73.92055",10453
85023,"40.59552,-74.08378",10305
85460,"40.629776,-73.994",11219
85898,"40.600628,-73.9371",11229
86337,"40.748837,-73.98952",10001
86777,"40.879745,-73.88467",10467
87218,"40.73247,-73.86167",11374
87660,"40.7334,-73.873055",11373
88103,"40.711903,-73.96295",11249
88547,"40.688515,-73.99294",11201
88992,"40.848606,-73.91397",10453
89438,"40.76645,-73.98681",10019
89885,"40.733738,-73.95485",11222
90333,"40.71572,-73.9335",11211
90782,"40.6374,-74.01116",11220
91232,"40.66016,-73.98056",11215
91683,"40.68578,-73.9544",11216
92135,"40.671333,-73.87095",11208
92588,"40.655914,-73.930824",11203
93042,"40.601536,-73.93535",11229
93497,"40.57243,-73.988396",11224
93953,"40.78597,-73.96885",10024
94410,"40.760254,-73.967545",10022
94868,"40.745056,-73.978615",10016
95327,"40.736004,-73.99362",10011
95787,"40.674088,-73.79837",11436
96248,"40.75458,-73.89467",11372
96710,"40.6527,-73.956055",11226
97173,"40.809563,-73.92923",10451
97637,"40.73136,-73.98257",10009
98102,"40.70254,-73.81629",11435
98568,"40.829636,-73.90517",10456
99035,"40.704082,-73.79365",11433
99503,"40.686756,-73.975525",11217
99972,"40.776196,-73.949875",10028
100442,"40.715492,-73.834404",11375
100913,"40.676598,-73.941536",11216
101385,"40.80133,-73.950195",10026
101858,"40.688988,-73.84591",11416
102332,"40.660934,-73.983246",11215
102807,"40.57699,-73.98153",11224
103283,"40.827183,-73.853096",10472
103760,"40.7453,-73.986855",10001
104238,"40.673992,-73.881714",11208
104717,"40.66292,-73.890625",11207
105197,"40.680893,-73.871376",11208
105678,"40.636635,-74.00838",11220
106160,"40.813374,-73.956276",10027
106643,"40.736855,-73.97853",10010
107127,"40.74026,-73.990524",10011
107612,"40.578938,-73.98522",11224
108098,"40.866726,-73.89799",10468
108585,"40.624485,-74.07998",10304
109073,"40.70213,-73.80445",11435
109562,"40.83718,-73.942604",10032
110052,"40.735306,-74.00037",10014
110543,"40.66762,-73.94237",11213
111035,"40.892754,-73.85774",10466
111528,"40.829655,-73.91729",10456
112022,"40.740944,-74.00537",10014
112517,"40.764587,-73.90452",11103
113013,"40.772068,-73.92008",11102
113510,"40.720966,-73.8429",11375
114008,"40.65067,-73.95248",11226
114507,"40.74044,-73.9946",10011
115007,"40.605423,-74.120865",10314
115508,"40.670006,-73.95328",11216
116010,"40.752975,-73.91024",11377
116513,"40.659718,-73.94534",11203
117017,"40.73855,-73.98043",10010
117522,"40.57731,-74.10113",10306
118028,"40.585087,-74.15594",10314
118535,"40.76138,-73.86574",11369
119043,"40.76132,-73.9171",11103
119552,"40.668293,-73.93952",11213
120062,"40.64359,-73.90471",11236
120573,"40.86226,-73.89589",10458
121085,"40.73091,-73.86084",11374
121598,"40.701458,-73.80414",11435
122112,"40.718384,-73.95714",11249
122627,"40.73324,-74.00071",10014
123143,"40.62962,-74.07667",10304
123660,"40.678844,-73.86609",11208
124178,"40.665142,-73.88557",11207
124697,"40.762264,-73.78527",11361
125217,"40.752956,-73.99527",10001
125738,"40.70927,-73.797325",11432
126260,"40.66434,-73.93155",11213
126783,"40.784534,-73.9736",10024
127307,"40.735203,-73.9917",10003
127832,"40.588562,-74.14584",10314
128358,"40.73599,-73.86551",11373
128885,"40.715145,-73.74935",11428
129413,"40.703987,-73.79855",11433
129942,"40.706966,-73.75283",11412
130472,"40.829185,-73.928764",10451
131003,"40.74967,-73.99531",10001
131535,"40.734314,-73.98855",10003
132068,"40.75435,-73.97698",10017
132602,"40.75319,-73.85667",11368
133137,"40.752228,-73.93911",11101
133673,"40.763958,-73.82814",11354
134210,"40.695114,-73.93194",11221
134748,"40.676342,-73.910934",11233
135287,"40.639153,-73.99142",11219
135827,"40.803123,-73.94045",10035
136368,"40.69017,-73.79591",11433
136910,"40.700214,-73.94632",11206
137453,"40.641987,-74.01724",11220
137997,"40.636703,-73.99038",11219
138542,"40.8464,-73.89338",10457
139088,"40.74357,-73.992325",10011
139635,"40.738503,-73.996025",10011
140183,"40.75651,-73.89692",11377
140732,"40.8479,-73.919685",10453
141282,"40.722977,-74.005066",10013
141833,"40.70921,-73.87017",11385
142385,"40.717587,-73.95586",11211
142938,"40.628845,-73.99855",11219
143492,"40.758224,-73.91741",11103
144047,"40.71865,-73.83771",11375
144603,"40.70955,-73.95887",11211
145160,"40.862778,-73.906166",10468
145718,"40.74876,-73.8692",11373
146277,"40.710476,-73.963844",11249
146837,"40.843822,-73.916565",10452
147398,"40.63367,-74.12945",10310
147960,"40.765102,-73.91291",11103
